ID,PearsonCorr,BVol,GVol,WVol,ThicknessSum
3168227,0.812216,1430860,507365,435103,1414640
3168239,0.808272,1323240,442484,431489,1151440
3168538,0.814235,1309120,426396,384155,1089060
3168546,0.774094,1440930,461787,449884,1130020
3169457,0.833698,1624000,553075,491196,1489250
3169564,0.760125,1357470,438182,421430,1144660
3169825,0.820199,1300280,409029,399142,962309
3170190,0.836180,1075750,379180,330296,1095710
3170218,0.856434,1467270,503028,425070,1420000
3170641,0.797339,1451820,479828,439204,1219460
3170764,0.832967,1165400,378311,336291,979306
3170956,0.837512,1325540,457356,387917,1316570
3171270,0.761109,1340620,425717,429457,1064760
3171747,0.819892,1673840,572222,494184,1529510
3171911,0.815888,1404820,430555,441045,1051760
3172061,0.834920,1456420,479779,429936,1307400
3172872,0.810537,1461060,514156,439017,1468310
3173286,0.773709,1474230,503209,453400,1466340
3173407,0.798406,1331700,409615,423081,955518
3173410,0.817296,1129620,372746,333194,967788
3174003,0.846888,1389120,476043,427352,1318460
3174318,0.777404,1317580,431462,377592,1144720
3174988,0.796601,1363140,435257,432870,1053500
3175359,0.820244,1372300,458951,392089,1159840
3175443,0.812909,1363130,432313,395207,1056190
3175488,0.816232,1426090,462482,432932,1306570
3176194,0.759687,1475850,486677,421735,1350620
3176331,0.789947,1716440,556719,539686,1441720
3176470,0.830561,1473340,489071,416547,1362670
3176746,0.829757,1261160,443474,382693,1215160
3177008,0.825160,1496350,499687,423468,1293900
3177152,0.814298,1552410,510785,482013,1427710
3177358,0.825102,1282290,413679,375184,1067110
3177397,0.804795,1442910,446363,439881,1049110
3177403,0.837862,1390100,476593,428965,1359080
3177961,0.811922,1373330,453450,396912,1275320
3178195,0.820306,1431460,485916,438375,1390190
3178222,0.787320,1435010,463231,444348,1183190
3178388,0.756567,1680960,515737,550486,1251430
3178977,0.826455,1447670,479976,402834,1272220
3179438,0.795632,1626040,498693,515534,1158530
3179913,0.838207,1496170,522211,450078,1616870
3180739,0.759115,1547730,455858,499969,1012300
3181650,0.792508,1443120,482929,442061,1209390
3181695,0.802830,1592240,536260,454616,1396700
3182377,0.822114,1355710,472622,401193,1312320
3182385,0.801334,1380990,464359,403368,1221810
3183088,0.835576,1424570,520476,404314,1548830
3183204,0.782551,1384340,429557,422553,972930
3183545,0.810468,1574040,531019,461710,1350590
3183714,0.779313,1263740,412047,345259,996514
3183806,0.832464,1359630,465640,382527,1326880
3183926,0.819955,1518370,502098,449245,1287570
3183990,0.751050,1324590,425437,395410,1058140
3184194,0.814332,1236940,408613,374287,1097590
3184918,0.732069,1404850,416911,450959,988151
3185656,0.779112,1442860,464942,464159,1177510
3185842,0.790588,1260990,379315,379160,838652
3186201,0.809953,1334820,429503,388205,1086320
3186304,0.754157,1690920,522092,542455,1201960
3186412,0.819725,1644580,564337,482341,1607760
3187070,0.844247,1420680,492132,434843,1400800
3187167,0.811949,1104830,367786,321150,930375
3187497,0.847254,1295340,460031,369508,1345680
3187623,0.779152,1609370,500814,481005,1167440
3187886,0.825228,1664540,578453,484970,1711910
3187991,0.789547,1369200,430838,404224,1056170
3188121,0.801606,1385010,471030,387070,1309620
3188149,0.788457,1370720,447341,424860,1074700
3188646,0.805107,1430150,468121,411066,1213510
3188780,0.782408,1126970,342216,339166,706703
3189175,0.786040,1275470,383962,381634,848736
3189313,0.814895,1579980,507390,461332,1378180
3189657,0.761333,1405590,432693,483479,1002350
3189785,0.802337,1560380,520483,476367,1369730
3189961,0.768932,1525260,469704,487893,1048570
3190132,0.807050,1509200,481450,459678,1192000
3190183,0.784659,1347260,459943,388079,1246040
3190324,0.786773,1501590,474767,464848,1148250
3190640,0.814092,1352780,495055,397561,1458720
3191047,0.813415,1339390,448660,382588,1115910
3191119,0.836829,1536270,514829,453559,1475260
3191146,0.764724,1501370,505999,455981,1337100
3191160,0.835093,1357850,472500,468713,1297610
3191489,0.828891,1508110,499570,459558,1309240
3191884,0.829814,1520770,493023,472412,1311510
3192052,0.836399,1429480,483437,391475,1302890
3192315,0.814447,1429730,493629,399782,1411810
3192628,0.811806,1367440,444312,416193,1115640
3192656,0.814079,1242440,401518,375991,1047290
3192889,0.779131,1286630,439419,373627,1159300
3193510,0.819622,1371480,468111,389151,1272290
3194061,0.797540,1781950,576271,560944,1477070
3194179,0.812800,1242090,416558,352588,1114540
3194224,0.802482,1609060,509013,485240,1356190
3194518,0.782992,1665560,526824,501652,1261680
3194645,0.819829,1329840,443840,380979,1213800
3195121,0.839058,1370380,474603,407916,1356960
3195371,0.786452,1581710,509771,502107,1349070
3195881,0.804840,1412660,460163,429876,1203810
3195951,0.797606,1355190,439162,405656,1129130
3196009,0.769994,1375890,439672,440265,1114200
3196377,0.779654,1294990,422428,403165,1034700
3197006,0.828898,1459920,507728,419655,1386300
3197197,0.787441,1474880,487099,441748,1238960
3197391,0.839608,1369840,454040,397472,1224590
3197651,0.781679,1481070,480340,441003,1169360
3198386,0.823972,1258020,448910,361452,1256470
3198876,0.816261,1508720,489600,439859,1257960
3199240,0.803870,1463480,471813,469622,1199790
3199413,0.818062,1443070,501386,450128,1418270
3199612,0.807471,1330660,447817,400944,1183860
3199935,0.778728,1308500,422974,406963,1009500
3200211,0.827980,1676580,596408,474625,1759000
3201256,0.812608,1392810,450316,443512,1095010
3201291,0.804411,1321980,428030,399080,1082960
3201498,0.832098,1411980,484950,405195,1280290
3201905,0.769633,1112890,363830,323683,925723
3202679,0.848300,1470370,527454,439273,1552680
3202739,0.827986,1326790,444292,379691,1217430
3203246,0.816991,1519860,470802,473252,1113280
3203494,0.824877,1396420,458728,402606,1194540
3203505,0.678678,1594460,478908,498910,1024070
3204092,0.840666,1339810,473956,383286,1407390
3204446,0.808222,1352960,452381,389461,1195260
3204583,0.783898,1390580,438798,427572,1087360
3205098,0.787307,1489460,496565,427411,1278520
3205239,0.816289,1555290,547344,450265,1508620
3205240,0.786534,1649240,530957,537469,1333950
3205501,0.812093,1458990,494149,447325,1330040
3205630,0.845991,1553620,507565,466672,1416800
3206183,0.813736,1414750,496577,414136,1361620
3206199,0.816717,1541250,490455,462783,1314070
3206324,0.838585,1352100,463931,411852,1243630
